num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
837	1831.164397	83.029267	-4.156463	-6.877397	166.776217
839	1833.248165	80.137966	-4.364027	-6.875601	139.449428
841	1835.335233	76.879309	-4.136044	-6.878260	123.784776
843	1837.418833	74.331547	-4.005362	-6.876961	127.071338
845	1839.506629	71.296186	-4.002097	-6.880598	106.347204
847	1841.589729	68.505497	-3.851791	-0.596315	103.043639
849	1843.676741	65.865014	-3.709044	-0.600861	92.958108
851	1845.759880	63.235081	-3.651049	-0.599351	89.869086
853	1847.845666	60.632879	-3.440480	-0.601485	76.102766
855	1849.929515	57.983974	-3.342835	-0.602082	71.677758
857	1852.013346	55.513447	-3.255610	-0.604593	65.069285
859	1854.094756	53.173315	-3.222211	-0.603959	57.621260
861	1856.177215	50.567965	-2.999002	-0.603455	53.914038
863	1858.261120	48.296778	-2.961449	-0.603546	47.730452
865	1860.344100	45.851815	-2.897283	-0.601512	43.562381
867	1862.427204	43.636163	-2.779952	-0.600338	40.362085
869	1864.511183	41.362708	-2.673964	-0.599028	37.030406
871	1866.597497	39.471687	-2.549837	-0.599398	33.822636
873	1868.682665	37.587826	-2.401980	-0.597049	29.106525
875	1870.766406	35.607094	-2.297632	-0.593990	27.572082
877	1872.851301	33.918718	-2.181196	-0.591648	24.270020
879	1874.935972	32.244759	-2.083897	-0.589225	22.619413
881	1877.016419	30.654259	-1.930080	-0.580955	20.465774
883	1879.098645	29.145663	-1.789106	-0.573508	17.484381
885	1881.180869	27.715581	-1.725316	-0.568681	15.868506
