num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1807	4612.745948	64.588640	-4.511115	2.550246	18.193443
1809	4614.829214	74.615768	-7.151893	2.625893	154.649279
1811	4616.914861	64.986648	-6.777899	2.625275	105.236544
1813	4619.005996	56.013887	-6.395059	2.630109	85.968486
1815	4621.097785	48.424982	-6.109917	2.631558	58.907510
1817	4623.189106	41.475690	-5.667527	2.630826	49.700261
1819	4625.273947	35.527134	-5.038612	2.633019	36.650049
1821	4627.356747	30.396343	-4.389485	2.641782	23.679307
