num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1101	2145.079430	90.173778	-0.913251	-0.499304	170.174974
1103	2147.162230	87.806650	-0.846363	-0.497129	148.086810
1105	2149.246916	85.546507	-0.755624	-0.498291	140.588254
1107	2151.330521	83.166807	-0.717006	-0.499958	136.021371
1109	2153.414879	81.162760	-0.704666	-0.498184	120.907357
1111	2155.498433	78.813909	-0.597681	-0.499534	122.773926
1113	2157.582683	76.728689	-0.537480	-0.501429	109.800816
1115	2159.666641	74.588644	-0.533009	-0.499639	111.078083
1117	2161.751564	72.497709	-0.402944	-0.502771	98.633490
1119	2163.836149	70.418613	-0.407458	-0.503331	96.342497
1121	2165.920886	68.410616	-0.383533	-0.505320	92.457946
1123	2168.005176	66.467350	-0.368035	-0.507595	84.939888
1125	2170.088712	64.602561	-0.362798	-0.508221	80.015576
1127	2172.171003	62.685634	-0.326686	-0.509297	74.452060
1129	2174.252610	61.019984	-0.202253	-0.508680	71.906604
1131	2176.334223	58.989353	-0.251424	-0.508036	65.880889
1133	2178.415429	57.096346	-0.249103	-0.506333	61.996622
1135	2180.497757	55.272860	-0.195242	-0.506307	60.585400
1137	2182.581878	53.423519	-0.121649	-0.507283	54.889455
1139	2184.665780	51.670746	-0.099412	-0.509792	51.959375
1141	2186.750572	49.988271	-0.053381	-0.509704	47.928304
1143	2188.834181	48.291618	-0.036564	-0.511432	44.513850
1145	2190.919762	46.760182	-0.012466	-0.511823	40.412024
1147	2193.002712	45.150836	0.025063	-0.510673	37.614030
1149	2195.085213	43.565625	0.035169	-0.510891	35.154434
1151	2197.168457	42.144733	0.071130	-0.509812	34.750527
1153	2199.251544	40.658246	0.094051	-0.507992	30.285016
1155	2201.332075	39.298020	0.123350	-0.505131	29.765356
1157	2203.414193	38.022322	0.134133	-0.503380	27.508823
1159	2205.493857	36.609220	0.140729	-0.500020	24.939795
1161	2207.574544	35.301521	0.138470	-0.497460	23.697734
1163	2209.656339	33.950842	0.176626	-0.494834	22.605426
1165	2211.738778	32.739861	0.152824	-0.492912	20.396516
1167	2213.821796	31.451556	0.209248	-0.486280	19.384024
1169	2215.908309	30.422798	0.201723	-0.481882	18.143529
1171	2217.993545	29.295363	0.230838	-0.476467	16.516972
