num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1599	2686.944058	85.917836	-7.307218	2.548423	136.683677
1601	2689.026958	84.591753	-7.087939	2.547437	123.448307
1603	2691.110047	82.651120	-7.089487	2.545167	123.148135
1605	2693.192556	81.036204	-7.031067	2.543935	117.794903
1607	2695.276708	79.315161	-6.983497	2.542615	110.842729
1609	2697.359191	77.699607	-6.885498	2.542843	108.413703
1611	2699.442071	76.246867	-6.785950	2.541872	105.193837
1613	2701.525922	74.724865	-6.717581	2.539843	96.416553
1615	2703.608913	73.094748	-6.647507	2.538277	99.104624
1617	2705.691236	71.546105	-6.523935	2.535755	90.972201
1619	2707.774080	70.306396	-6.404870	2.534808	88.109188
1621	2709.856952	68.830013	-6.272178	2.534518	84.204027
1623	2711.939540	67.258801	-6.217876	2.533661	82.231157
1625	2714.022486	65.915822	-6.103708	2.532587	79.810796
1627	2716.106212	64.641965	-6.025926	2.528273	71.902457
1629	2718.190463	63.246980	-5.934112	2.527240	70.671553
1631	2720.274354	61.732258	-5.784451	2.525183	70.358677
1633	2722.358100	60.401623	-5.689291	2.521130	66.150567
1635	2724.441619	59.005654	-5.658694	2.519019	61.986597
1637	2726.524505	57.606496	-5.507459	2.519973	57.136296
1639	2728.605307	56.415523	-5.389648	2.522154	56.572425
1641	2730.686458	55.113118	-5.281247	2.523108	53.050319
1643	2732.768427	53.850723	-5.206197	2.522625	51.428576
1645	2734.850427	52.630057	-5.155369	2.521944	48.397321
1647	2736.932703	51.344267	-5.041533	2.520845	46.069773
1649	2739.014543	50.175563	-4.974357	2.520263	43.764612
1651	2741.097032	48.941092	-4.922992	2.517918	42.451690
1653	2743.181396	47.703565	-4.721823	2.517735	39.973912
1655	2745.264475	46.651589	-4.727559	2.518892	38.717368
1657	2747.347369	45.504785	-4.582605	2.517827	36.914507
1659	2749.428314	44.418225	-4.571755	2.516922	33.939461
1661	2751.513688	43.321245	-4.447024	2.519678	33.297039
1663	2753.597579	42.205590	-4.374576	2.521316	32.068745
1665	2755.682041	41.200923	-4.250265	2.521910	30.304331
1667	2757.765184	40.113841	-4.146060	2.525554	28.485956
1669	2759.847669	39.257948	-4.051800	2.524903	27.198471
1671	2761.930527	38.228799	-3.995636	2.523042	24.741409
1673	2764.010482	37.289034	-3.923115	2.523302	24.855407
1675	2766.092303	36.296138	-3.802380	2.523214	23.595624
1677	2768.171692	35.215386	-3.716612	2.524924	21.952559
1679	2770.253885	34.316938	-3.650942	2.525192	20.471875
1681	2772.334518	33.382327	-3.523761	2.527215	20.326514
1683	2774.415932	32.600478	-3.465834	2.529060	19.073366
1685	2776.498852	31.726568	-3.366061	2.532212	17.563073
1687	2778.581754	30.852939	-3.259356	2.537978	16.615619
1689	2780.662112	30.303695	-3.194925	2.537534	15.838753
1691	2782.748656	29.291649	-3.063032	2.545552	15.388286
1693	2784.831330	28.816500	-2.984993	2.544806	13.752344
