crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	58.458778	339	0.000000
281474976710655.000000	88.575195	340	0.000000
281474976710655.000000	172.456039	341	0.000000
281474976710655.000000	66.561012	342	0.000000
281474976710655.000000	40.156788	343	0.000000
281474976710655.000000	34.657501	344	0.000000
281474976710655.000000	53.569771	345	0.000000
281474976710655.000000	29.034002	346	0.000000
281474976710655.000000	23.053350	347	0.000000
281474976710655.000000	20.565443	348	0.000000
281474976710655.000000	17.069624	349	0.000000
281474976710655.000000	12.669223	350	0.000000
281474976710655.000000	11.212563	351	0.000000
281474976710655.000000	8.735786	352	0.000000
281474976710655.000000	7.313706	353	0.000000
