crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-217.348831	2525	0.000000
281474976710655.000000	-103.432739	2526	0.000000
281474976710655.000000	-98.368408	2527	0.000000
281474976710655.000000	-98.328079	2528	0.000000
281474976710655.000000	-96.424950	2529	0.000000
281474976710655.000000	Inf	2530	0.000000
281474976710655.000000	-91.797165	2531	0.000000
281474976710655.000000	-94.779823	2532	0.000000
281474976710655.000000	-60.854195	2533	0.000000
281474976710655.000000	-80.896492	2534	0.000000
281474976710655.000000	-87.902916	2535	0.000000
281474976710655.000000	-78.694046	2536	0.000000
281474976710655.000000	-37.329529	2537	0.000000
281474976710655.000000	-79.056129	2538	0.000000
281474976710655.000000	-77.311127	2539	0.000000
281474976710655.000000	-37.876698	2540	0.000000
281474976710655.000000	-69.809975	2541	0.000000
281474976710655.000000	-46.272327	2542	0.000000
281474976710655.000000	-74.137947	2543	0.000000
281474976710655.000000	-66.449829	2544	0.000000
281474976710655.000000	-50.507957	2545	0.000000
281474976710655.000000	-71.120613	2546	0.000000
281474976710655.000000	-59.352291	2547	0.000000
281474976710655.000000	-38.621662	2548	0.000000
281474976710655.000000	-61.149868	2549	0.000000
281474976710655.000000	-63.145458	2550	0.000000
281474976710655.000000	-57.630959	2551	0.000000
281474976710655.000000	-33.782566	2552	0.000000
281474976710655.000000	-50.173965	2553	0.000000
281474976710655.000000	-40.547153	2554	0.000000
281474976710655.000000	-55.247654	2555	0.000000
281474976710655.000000	-43.509617	2556	0.000000
281474976710655.000000	-41.755978	2557	0.000000
281474976710655.000000	-45.598408	2558	0.000000
281474976710655.000000	-39.146927	2559	0.000000
281474976710655.000000	-43.286190	2560	0.000000
281474976710655.000000	-32.896908	2561	0.000000
281474976710655.000000	-36.752846	2562	0.000000
281474976710655.000000	-32.978977	2563	0.000000
281474976710655.000000	-33.199322	2564	0.000000
281474976710655.000000	-35.307388	2565	0.000000
281474976710655.000000	-34.588058	2566	0.000000
281474976710655.000000	-33.716549	2567	0.000000
281474976710655.000000	-30.534576	2568	0.000000
281474976710655.000000	-31.158550	2569	0.000000
281474976710655.000000	-30.273485	2570	0.000000
281474976710655.000000	-27.179199	2571	0.000000
281474976710655.000000	-27.589466	2572	0.000000
281474976710655.000000	-27.776571	2573	0.000000
281474976710655.000000	-25.861250	2574	0.000000
281474976710655.000000	-23.142853	2575	0.000000
281474976710655.000000	-24.877363	2576	0.000000
281474976710655.000000	-23.329828	2577	0.000000
281474976710655.000000	-23.254768	2578	0.000000
281474976710655.000000	-21.661207	2579	0.000000
281474976710655.000000	-24.318661	2580	0.000000
281474976710655.000000	-20.466887	2581	0.000000
281474976710655.000000	-20.631409	2582	0.000000
281474976710655.000000	-20.944796	2583	0.000000
281474976710655.000000	-19.675457	2584	0.000000
281474976710655.000000	-19.766001	2585	0.000000
281474976710655.000000	-18.441010	2586	0.000000
281474976710655.000000	-17.657610	2587	0.000000
281474976710655.000000	-17.064013	2588	0.000000
281474976710655.000000	-15.423552	2589	0.000000
281474976710655.000000	-15.269680	2590	0.000000
281474976710655.000000	-15.204200	2591	0.000000
281474976710655.000000	-15.085681	2592	0.000000
281474976710655.000000	-15.895950	2593	0.000000
281474976710655.000000	-14.722529	2594	0.000000
281474976710655.000000	-13.757618	2595	0.000000
281474976710655.000000	-13.171927	2596	0.000000
281474976710655.000000	-13.481826	2597	0.000000
281474976710655.000000	-13.211436	2598	0.000000
281474976710655.000000	-12.386340	2599	0.000000
281474976710655.000000	-11.483115	2600	0.000000
281474976710655.000000	-12.935806	2601	0.000000
281474976710655.000000	-10.756607	2602	0.000000
281474976710655.000000	-10.289897	2603	0.000000
281474976710655.000000	-9.735266	2604	0.000000
281474976710655.000000	-9.579554	2605	0.000000
281474976710655.000000	-9.582055	2606	0.000000
