num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
977	1982.847947	80.930220	-3.019614	-0.607147	127.324283
979	1984.931051	78.110974	-3.009977	-0.608024	130.211177
981	1987.017294	75.211481	-2.962972	-0.609652	106.584887
983	1989.100043	72.058177	-2.820246	-0.610306	114.712743
985	1991.185121	69.242831	-2.653150	-0.614379	94.837991
987	1993.269167	66.421813	-2.659092	-0.611319	95.691243
989	1995.352808	63.559332	-2.457315	-0.614920	88.263860
991	1997.436396	60.915749	-2.449577	-0.614283	76.886189
993	1999.520006	58.171210	-2.278408	-0.613586	73.963722
995	2001.604196	55.481828	-2.307392	-0.615772	64.403865
997	2003.687150	53.001451	-2.171382	-0.613288	63.455186
999	2005.771125	50.545287	-2.108240	-0.613927	53.785851
1001	2007.854048	48.266935	-2.025868	-0.613783	50.548185
1003	2009.938622	45.899593	-1.911623	-0.612803	44.272650
1005	2012.022765	43.750861	-1.893250	-0.610783	40.599046
1007	2014.106359	41.735163	-1.771031	-0.609836	36.444435
1009	2016.190208	39.813600	-1.683674	-0.608673	33.953226
1011	2018.273204	37.785501	-1.594640	-0.606260	30.301451
1013	2020.356331	35.953418	-1.509261	-0.603806	27.685468
1015	2022.438798	34.105390	-1.447160	-0.600635	25.115525
1017	2024.520383	32.410986	-1.394436	-0.596778	22.060315
1019	2026.604306	30.670498	-1.244079	-0.589473	19.399278
1021	2028.686861	29.198669	-1.166375	-0.584151	18.614822
1023	2030.770669	27.753489	-1.138504	-0.579484	16.484852
1025	2032.854349	26.366494	-1.067209	-0.573037	14.788361
1027	2034.940196	25.007114	-0.999340	-0.565612	13.496771
1029	2037.023458	23.754709	-0.925212	-0.560542	11.847945
