crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-134.100555	1871	0.000000
281474976710655.000000	Inf	1872	0.000000
281474976710655.000000	Inf	1873	0.000000
281474976710655.000000	Inf	1874	0.000000
281474976710655.000000	-79.308182	1875	0.000000
281474976710655.000000	Inf	1876	0.000000
281474976710655.000000	-30.871695	1877	0.000000
281474976710655.000000	-48.412640	1878	0.000000
281474976710655.000000	-51.253201	1879	0.000000
281474976710655.000000	-47.186020	1880	0.000000
281474976710655.000000	-34.367981	1881	0.000000
281474976710655.000000	-30.971567	1882	0.000000
281474976710655.000000	-23.680946	1883	0.000000
281474976710655.000000	-20.291191	1884	0.000000
281474976710655.000000	-16.632652	1885	0.000000
281474976710655.000000	-14.611033	1886	0.000000
281474976710655.000000	-12.835912	1887	0.000000
281474976710655.000000	-10.134516	1888	0.000000
281474976710655.000000	-8.832300	1889	0.000000
281474976710655.000000	-7.564122	1890	0.000000
281474976710655.000000	-6.488198	1891	0.000000
281474976710655.000000	-5.236888	1892	0.000000
281474976710655.000000	-4.316787	1893	0.000000
