num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1423	2722.016324	7.443981	-46.225622	0.954034	4.267277
1425	2723.917301	0.854286	-46.800144	1.037328	2.561811
1427	2726.029189	0.914547	-25.349765	1.057166	4.577067
1429	2728.104265	0.902382	-14.049259	1.057220	13.099465
1429	2728.104265	0.902380	-14.049249	1.057212	1.957388
1429	2728.104265	0.902356	-14.049269	1.057210	1.957388
1429	2728.104265	0.902356	-14.049269	1.057210	1.957388
1429	2728.104265	0.902390	-14.049350	1.057217	1.957388
1429	2728.104265	0.902356	-14.049269	1.057210	1.957388
1429	2728.104265	15.717276	0.947123	2.666932	1.957388
1429	2728.104265	15.717276	0.947123	2.666932	1.957388
1429	2728.104265	15.717276	0.947123	2.666932	1.957388
1429	2728.104265	15.717276	0.947123	2.666932	1.957388
1429	2728.104265	0.000000	0.000000	NaN	1.957388
1431	2835.152753	1.050011	-0.651459	0.683043	1.957388
1433	2835.228628	0.369750	-1.742707	3.134580	7.604698
1435	2874.934688	8.106180	-46.249150	0.991346	4.626345
1437	2876.847078	1.843835	-44.522648	1.070500	1.114865
1439	2878.962866	1.155359	-23.971435	1.089713	8.795575
1441	2881.048593	0.813896	-13.042388	1.094500	6.235841
1443	2882.807893	300.000000	-21.751899	2.858912	7.474238
1461	2943.837294	0.000000	-36.080213	1.041577	2.460864
1463	2945.919378	0.652061	23.915013	4.191087	7.664592
1465	2948.023940	0.402972	15.729144	4.199503	5.721513
1467	2950.086709	0.211254	10.323835	-2.085719	6.629751
1467	2950.086709	0.211209	10.323836	-2.085716	1.742422
1467	2950.086709	0.211254	10.323835	-2.085719	1.742422
1467	2950.086709	0.211209	10.323836	-2.085716	1.742422
1469	2988.076256	0.825521	0.026583	-3.913400	1.742422
1469	2988.076256	0.835101	0.033460	-3.914939	1.679008
1469	2988.076256	0.835099	0.033462	-3.914943	1.679008
1469	2988.076256	1.078303	-0.437621	-3.675952	1.679008
1469	2988.076256	1.418694	-1.127301	-4.001872	1.679008
1469	2988.076256	2.855316	-2.280059	2.233963	1.679008
1469	2988.076256	2.499563	0.786024	2.673884	1.679008
1469	2988.076256	0.937797	0.681248	2.926286	1.679008
1471	3059.628214	0.061348	2.951966	3.735611	1.679008
1473	3060.672258	117.499316	28.902923	-0.614258	33.542259
1475	3062.284645	10.571177	23.304746	-2.128037	3.732541
1477	3064.604827	51.423491	15.552882	-0.803125	10.554039
1479	3066.616029	30.273376	25.616837	-1.163674	2.080950
1481	3068.472833	3.324705	52.414849	-2.078415	1.326633
1483	3070.597904	3.173358	33.797895	-2.055825	1.093895
1485	3072.935431	3.326011	7.917338	4.586183	205.932935
1487	3075.214214	1.955636	13.639211	1.945920	6.804423
