crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	131.367905	676	0.000000
281474976710655.000000	134.430679	677	0.000000
281474976710655.000000	130.839844	678	0.000000
281474976710655.000000	112.004211	679	0.000000
281474976710655.000000	107.349106	680	0.000000
281474976710655.000000	107.380089	681	0.000000
281474976710655.000000	103.553879	682	0.000000
281474976710655.000000	174.804550	683	0.000000
281474976710655.000000	54.917740	684	0.000000
281474976710655.000000	86.687225	685	0.000000
281474976710655.000000	49.214657	686	0.000000
281474976710655.000000	68.604378	687	0.000000
281474976710655.000000	131.865448	688	0.000000
281474976710655.000000	64.606453	689	0.000000
281474976710655.000000	52.763702	690	0.000000
281474976710655.000000	33.880390	691	0.000000
281474976710655.000000	39.289341	692	0.000000
281474976710655.000000	39.072086	693	0.000000
281474976710655.000000	33.949562	694	0.000000
281474976710655.000000	33.013561	695	0.000000
281474976710655.000000	32.683079	696	0.000000
281474976710655.000000	36.115086	697	0.000000
281474976710655.000000	32.790287	698	0.000000
281474976710655.000000	27.498123	699	0.000000
281474976710655.000000	28.691803	700	0.000000
281474976710655.000000	21.441568	701	0.000000
281474976710655.000000	21.300673	702	0.000000
281474976710655.000000	19.362803	703	0.000000
281474976710655.000000	18.292669	704	0.000000
281474976710655.000000	17.865747	705	0.000000
281474976710655.000000	17.139074	706	0.000000
281474976710655.000000	14.799572	707	0.000000
281474976710655.000000	13.390194	708	0.000000
281474976710655.000000	11.429913	709	0.000000
281474976710655.000000	11.607466	710	0.000000
281474976710655.000000	10.631999	711	0.000000
