num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
611	1557.869356	82.636386	-2.834463	-0.539660	143.007277
613	1559.954842	78.035442	-2.826006	-0.543445	143.489415
615	1562.040078	73.595074	-2.718103	-0.545974	126.142547
617	1564.126365	69.240380	-2.641422	-0.546990	109.827927
619	1566.212085	65.156179	-2.520901	-0.549356	97.484949
621	1568.297591	61.000562	-2.400932	-0.550852	82.756839
623	1570.382112	57.090646	-2.296760	-0.552440	74.599684
625	1572.465968	53.298967	-2.239068	-0.552962	63.973411
627	1574.550436	49.620724	-2.087499	-0.555424	53.531645
629	1576.634755	46.192044	-2.007801	-0.555521	49.014157
631	1578.718919	42.844613	-1.918670	-0.554841	41.490579
633	1580.802775	39.675966	-1.782141	-0.551349	35.485581
635	1582.885451	36.802809	-1.684955	-0.546823	31.537390
637	1584.970153	33.923993	-1.575930	-0.540452	27.145056
639	1587.055220	31.480303	-1.402240	-0.532354	23.048467
641	1589.139622	29.107938	-1.304392	-0.522296	19.556190
643	1591.222453	26.949453	-1.197765	-0.514097	16.961786
645	1593.306133	24.976075	-1.106269	-0.504416	13.676459
