crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-140.433563	1956	0.000000
281474976710655.000000	Inf	1957	0.000000
281474976710655.000000	-105.795387	1958	0.000000
281474976710655.000000	-97.081818	1959	0.000000
281474976710655.000000	-88.961006	1960	0.000000
281474976710655.000000	-51.199348	1961	0.000000
281474976710655.000000	-47.862125	1962	0.000000
281474976710655.000000	-92.230301	1963	0.000000
281474976710655.000000	-44.104301	1964	0.000000
281474976710655.000000	-35.323120	1965	0.000000
281474976710655.000000	-41.944530	1966	0.000000
281474976710655.000000	-25.903191	1967	0.000000
281474976710655.000000	-24.509396	1968	0.000000
281474976710655.000000	-18.162746	1969	0.000000
281474976710655.000000	-17.565229	1970	0.000000
281474976710655.000000	-13.737492	1971	0.000000
281474976710655.000000	-12.826049	1972	0.000000
281474976710655.000000	-10.173236	1973	0.000000
281474976710655.000000	-8.549253	1974	0.000000
281474976710655.000000	-6.870344	1975	0.000000
281474976710655.000000	-6.324481	1976	0.000000
281474976710655.000000	-4.853945	1977	0.000000
281474976710655.000000	-4.103658	1978	0.000000
281474976710655.000000	-3.356289	1979	0.000000
281474976710655.000000	-2.966132	1980	0.000000
281474976710655.000000	-2.667909	1981	0.000000
281474976710655.000000	-2.018082	1982	0.000000
281474976710655.000000	-1.414979	1983	0.000000
281474976710655.000000	-1.018633	1984	0.000000
