num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1955	4986.024939	88.130137	4.927565	-0.457676	175.849294
1957	4988.112844	78.231959	4.738780	-0.459450	150.478169
1959	4990.199428	68.786041	4.511940	-0.461905	117.303196
1961	4992.288248	59.801341	4.138184	-0.464859	93.313483
1963	4994.376168	51.563675	3.841677	-0.468287	72.554299
1965	4996.462407	44.067237	3.594294	-0.473146	58.399251
1967	4998.550642	37.747474	3.290955	-0.476090	40.068409
1969	5000.634632	32.283029	2.872086	-0.476320	27.064628
1971	5002.715122	27.411170	2.424762	-0.471858	20.035962
1973	5004.794931	23.118902	2.034276	-0.470196	13.415595
1975	5006.875885	19.447571	1.710396	-0.469084	10.268291
1977	5008.955840	16.409338	1.419893	-0.471575	6.873931
1979	5011.036223	13.761694	1.183448	-0.471103	5.339055
1981	5013.120057	11.375704	0.961436	-0.472520	3.263731
1983	5015.226240	9.670329	0.814008	-0.472661	2.510202
