crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	120.970848	2697	0.000000
281474976710655.000000	119.988785	2698	0.000000
281474976710655.000000	122.127403	2699	0.000000
281474976710655.000000	121.734612	2700	0.000000
281474976710655.000000	119.795059	2701	0.000000
281474976710655.000000	119.431618	2702	0.000000
281474976710655.000000	129.469025	2703	0.000000
281474976710655.000000	112.435966	2704	0.000000
281474976710655.000000	113.003250	2705	0.000000
281474976710655.000000	112.981033	2706	0.000000
281474976710655.000000	112.982277	2707	0.000000
281474976710655.000000	54.089874	2708	0.000000
281474976710655.000000	215.486374	2709	0.000000
281474976710655.000000	56.222866	2710	0.000000
281474976710655.000000	101.960831	2711	0.000000
281474976710655.000000	105.187889	2712	0.000000
281474976710655.000000	102.983177	2713	0.000000
281474976710655.000000	96.897125	2714	0.000000
281474976710655.000000	Inf	2715	0.000000
281474976710655.000000	102.152458	2716	0.000000
281474976710655.000000	52.104225	2717	0.000000
281474976710655.000000	99.018539	2718	0.000000
281474976710655.000000	65.215500	2719	0.000000
281474976710655.000000	64.138550	2720	0.000000
281474976710655.000000	90.391388	2721	0.000000
281474976710655.000000	48.332596	2722	0.000000
281474976710655.000000	97.456757	2723	0.000000
281474976710655.000000	Inf	2724	0.000000
281474976710655.000000	47.057713	2725	0.000000
281474976710655.000000	92.222488	2726	0.000000
281474976710655.000000	91.420303	2727	0.000000
281474976710655.000000	85.513176	2728	0.000000
281474976710655.000000	86.940834	2729	0.000000
281474976710655.000000	41.399658	2730	0.000000
281474976710655.000000	55.567764	2731	0.000000
281474976710655.000000	81.903831	2732	0.000000
281474976710655.000000	79.612946	2733	0.000000
281474976710655.000000	156.056183	2734	0.000000
281474976710655.000000	76.220619	2735	0.000000
281474976710655.000000	82.295074	2736	0.000000
281474976710655.000000	40.578411	2737	0.000000
281474976710655.000000	55.803616	2738	0.000000
281474976710655.000000	76.643555	2739	0.000000
281474976710655.000000	74.217056	2740	0.000000
281474976710655.000000	48.644859	2741	0.000000
281474976710655.000000	75.466896	2742	0.000000
281474976710655.000000	54.928680	2743	0.000000
281474976710655.000000	69.834106	2744	0.000000
281474976710655.000000	35.737839	2745	0.000000
281474976710655.000000	65.710556	2746	0.000000
281474976710655.000000	44.630207	2747	0.000000
281474976710655.000000	70.362465	2748	0.000000
281474976710655.000000	69.150146	2749	0.000000
281474976710655.000000	68.850761	2750	0.000000
281474976710655.000000	63.210651	2751	0.000000
281474976710655.000000	49.694164	2752	0.000000
281474976710655.000000	64.526825	2753	0.000000
281474976710655.000000	62.835922	2754	0.000000
281474976710655.000000	59.739025	2755	0.000000
281474976710655.000000	65.442444	2756	0.000000
281474976710655.000000	62.892513	2757	0.000000
281474976710655.000000	60.661160	2758	0.000000
281474976710655.000000	58.266155	2759	0.000000
281474976710655.000000	56.578129	2760	0.000000
281474976710655.000000	54.608776	2761	0.000000
281474976710655.000000	91.186111	2762	0.000000
281474976710655.000000	46.300472	2763	0.000000
281474976710655.000000	61.853996	2764	0.000000
281474976710655.000000	51.953663	2765	0.000000
281474976710655.000000	43.816048	2766	0.000000
281474976710655.000000	48.738392	2767	0.000000
281474976710655.000000	40.346970	2768	0.000000
281474976710655.000000	42.096462	2769	0.000000
281474976710655.000000	48.182983	2770	0.000000
281474976710655.000000	68.386581	2771	0.000000
281474976710655.000000	36.378307	2772	0.000000
281474976710655.000000	55.302864	2773	0.000000
281474976710655.000000	47.500278	2774	0.000000
281474976710655.000000	37.413483	2775	0.000000
281474976710655.000000	35.327198	2776	0.000000
281474976710655.000000	63.041870	2777	0.000000
281474976710655.000000	41.038319	2778	0.000000
281474976710655.000000	47.314991	2779	0.000000
281474976710655.000000	36.969341	2780	0.000000
281474976710655.000000	35.086143	2781	0.000000
281474976710655.000000	43.037056	2782	0.000000
281474976710655.000000	38.333527	2783	0.000000
281474976710655.000000	35.010349	2784	0.000000
281474976710655.000000	32.844017	2785	0.000000
281474976710655.000000	40.274021	2786	0.000000
281474976710655.000000	38.875137	2787	0.000000
281474976710655.000000	33.277252	2788	0.000000
281474976710655.000000	37.132523	2789	0.000000
281474976710655.000000	36.209087	2790	0.000000
281474976710655.000000	42.003754	2791	0.000000
281474976710655.000000	33.274540	2792	0.000000
281474976710655.000000	38.604740	2793	0.000000
281474976710655.000000	30.332262	2794	0.000000
281474976710655.000000	40.779861	2795	0.000000
281474976710655.000000	39.160728	2796	0.000000
281474976710655.000000	27.776089	2797	0.000000
281474976710655.000000	32.989338	2798	0.000000
281474976710655.000000	30.173815	2799	0.000000
281474976710655.000000	37.356785	2800	0.000000
281474976710655.000000	34.421101	2801	0.000000
281474976710655.000000	35.407921	2802	0.000000
281474976710655.000000	28.919117	2803	0.000000
