crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	454	0.000000
281474976710655.000000	97.592232	455	0.000000
281474976710655.000000	94.344673	456	0.000000
281474976710655.000000	76.268944	457	0.000000
281474976710655.000000	75.014290	458	0.000000
281474976710655.000000	47.259048	459	0.000000
281474976710655.000000	60.024609	460	0.000000
281474976710655.000000	52.358982	461	0.000000
281474976710655.000000	40.106407	462	0.000000
281474976710655.000000	43.303551	463	0.000000
281474976710655.000000	34.516846	464	0.000000
281474976710655.000000	36.949284	465	0.000000
281474976710655.000000	32.128941	466	0.000000
281474976710655.000000	29.468761	467	0.000000
281474976710655.000000	21.222626	468	0.000000
281474976710655.000000	21.114986	469	0.000000
281474976710655.000000	19.089838	470	0.000000
281474976710655.000000	15.787325	471	0.000000
281474976710655.000000	13.600534	472	0.000000
281474976710655.000000	12.480559	473	0.000000
281474976710655.000000	11.872190	474	0.000000
281474976710655.000000	10.070873	475	0.000000
281474976710655.000000	9.354233	476	0.000000
281474976710655.000000	7.366599	477	0.000000
281474976710655.000000	6.821972	478	0.000000
