num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2033	5303.886436	80.895327	4.303502	-0.544565	136.665565
2035	5305.971770	75.886419	4.176881	-0.545307	116.661878
2037	5308.057033	70.869993	4.041960	-0.544250	112.713773
2039	5310.142296	66.148554	3.870612	-0.542352	101.311438
2041	5312.228764	61.765548	3.725287	-0.542020	81.043805
2043	5314.315081	57.119992	3.542627	-0.541632	71.815427
2045	5316.399983	52.939825	3.368362	-0.539876	63.572011
2047	5318.487512	48.684477	3.203760	-0.541820	52.517985
2049	5320.578637	44.768242	3.011980	-0.548498	45.951353
2051	5322.671351	41.417429	2.837700	-0.556565	41.091997
2053	5324.754806	38.870803	2.759616	-0.558197	33.729868
2055	5326.843013	35.813464	2.574376	-0.554559	30.893062
2057	5328.924798	33.108448	2.347870	-0.550478	25.261299
2059	5331.012048	30.587646	2.144129	-0.547217	21.163535
2061	5333.080975	28.012445	1.952966	-0.544327	17.033632
2063	5335.171629	25.651160	1.808030	-0.538640	15.431892
2065	5337.267843	23.543659	1.641546	-0.533252	12.882252
2067	5339.349120	21.844894	1.454494	-0.533579	10.842648
