num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3049	7083.153863	89.520849	-2.602069	2.620608	107.682409
3051	7085.234563	88.128687	-2.672732	2.624000	109.936713
3053	7087.318133	86.601526	-2.820877	2.622027	116.159488
3055	7089.403741	85.201872	-2.942231	2.609230	102.844231
3057	7091.484691	84.746583	-2.771966	2.608936	102.729866
3059	7093.557440	83.783598	-2.715583	2.631007	97.174201
3061	7095.640775	81.010181	-3.316635	2.623865	96.706438
3063	7097.729670	80.641131	-3.073621	2.601786	92.568699
3065	7099.801874	79.979907	-2.952729	2.622636	87.667688
3067	7101.879914	77.835624	-3.357724	2.629524	87.381549
3069	7103.967457	76.268620	-3.368680	2.612642	83.929492
3071	7106.051676	75.561205	-3.277034	2.609747	81.622481
3073	7108.133028	74.473942	-3.310322	2.613004	79.353641
3075	7110.214249	73.174710	-3.386020	2.614353	72.736262
3077	7112.294979	72.141957	-3.390711	2.618061	72.301255
3079	7114.375330	71.094034	-3.480299	2.617639	71.932824
3081	7116.449209	70.314245	-3.658671	2.610284	69.440462
3083	7118.525338	68.561515	-3.669005	2.596803	68.089776
3085	7120.610104	66.621283	-3.445087	2.604120	64.906136
3087	7122.697885	65.943449	-3.532568	2.620676	63.724448
3089	7124.778023	65.520138	-3.744455	2.614633	58.464013
3091	7126.850815	64.442680	-3.772554	2.601992	58.706001
3093	7128.926718	62.937417	-3.698216	2.595847	56.769248
3095	7131.009548	61.559478	-3.701094	2.598347	54.670254
3097	7133.091738	60.508741	-3.759989	2.600889	51.966883
3099	7135.171904	59.630770	-3.781099	2.601592	49.896009
3101	7137.250332	58.669107	-3.747891	2.605252	49.706534
3103	7139.329476	57.544013	-3.823713	2.609027	49.612347
3105	7141.413534	56.185402	-3.954532	2.605235	46.596586
3107	7143.501496	55.072641	-3.992753	2.592714	45.849371
3109	7145.585645	54.314483	-3.917789	2.586418	43.912329
3111	7147.662647	53.748089	-3.841907	2.591531	41.616537
3113	7149.735224	52.756203	-3.870024	2.600905	40.655559
3115	7151.811030	51.619198	-3.963554	2.605221	37.738988
3117	7153.892535	50.460421	-4.022244	2.601333	36.792397
3119	7155.975416	49.572736	-4.058379	2.596664	36.266709
3121	7158.055226	48.823120	-4.044805	2.593748	35.704093
3123	7160.134886	47.904955	-4.082808	2.588746	33.620893
3125	7162.211634	46.756418	-4.070977	2.582311	33.598104
3127	7164.293988	45.502497	-3.985375	2.581475	32.240863
3129	7166.382794	44.622866	-3.975185	2.589408	30.380658
3131	7168.470482	44.124265	-4.010768	2.596566	28.824074
3133	7170.552374	43.571991	-4.100001	2.596572	27.283871
3135	7172.628866	42.949263	-4.130397	2.593337	26.357207
3137	7174.705346	42.272272	-4.116355	2.589668	25.523112
3139	7176.779701	41.349777	-4.092430	2.586897	24.680740
3141	7178.857607	40.536297	-4.060332	2.585557	25.625640
3143	7180.935276	39.722050	-4.054155	2.585420	24.677625
3145	7183.014817	38.907026	-4.042981	2.585425	21.784037
3147	7185.095180	38.111598	-4.037868	2.586243	21.522802
3149	7187.178661	37.421728	-4.024297	2.586914	21.885897
3151	7189.262153	36.638422	-4.009468	2.584930	20.099950
3153	7191.346250	35.986331	-4.013511	2.581066	19.689251
3155	7193.431729	35.359627	-3.977111	2.576048	18.978300
3157	7195.515024	34.750270	-3.938583	2.571947	18.963441
3159	7197.596054	34.106713	-3.867832	2.568891	17.546197
3161	7199.672839	33.514876	-3.832444	2.571315	16.575242
3163	7201.745483	32.855483	-3.794258	2.576046	15.809085
3165	7203.817416	32.235199	-3.788499	2.582550	14.868370
3167	7205.891497	31.486652	-3.779392	2.585966	13.908389
3169	7207.971041	30.868161	-3.757110	2.585271	14.305416
