num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2627	6621.559463	82.474274	3.275041	2.699322	112.279884
2629	6623.640055	80.568322	3.229303	2.698682	108.794015
2631	6625.721078	78.570494	3.152699	2.698568	107.397899
2633	6627.802952	76.749605	3.068934	2.699182	98.509265
2635	6629.886123	74.743516	2.989539	2.700473	88.072877
2637	6631.969169	72.888833	2.910791	2.700164	86.926499
2639	6634.050749	71.000512	2.830014	2.701364	87.740600
2641	6636.133512	69.120709	2.758908	2.702406	85.641698
2643	6638.215876	67.338163	2.662913	2.702428	77.677915
2645	6640.297819	65.444088	2.559064	2.701764	69.671138
2647	6642.381209	63.645815	2.468362	2.701364	65.238171
2649	6644.466160	61.698242	2.441731	2.701680	68.883993
2651	6646.548569	60.094593	2.344951	2.701027	62.223404
2653	6648.633761	58.256687	2.314615	2.701203	57.697507
2655	6650.717000	56.609315	2.214348	2.700875	53.400122
2657	6652.798563	54.981310	2.202804	2.700144	51.704111
2659	6654.881229	53.478029	2.128613	2.700378	49.950525
2661	6656.963377	52.043781	2.061050	2.700180	45.866886
2663	6659.045396	50.412877	2.005549	2.699969	44.175769
2665	6661.126593	48.889744	1.952827	2.699766	43.277790
2667	6663.206544	47.379960	1.902505	2.700072	39.497589
2669	6665.287268	46.095591	1.849136	2.697777	35.441128
2671	6667.369376	44.520297	1.791169	2.698260	33.468489
2673	6669.448620	43.311010	1.744025	2.696987	32.856603
2675	6671.529697	41.947146	1.690200	2.696990	29.214901
2677	6673.610526	40.671434	1.625383	2.696412	28.400494
2679	6675.690917	39.521795	1.576161	2.697079	28.727629
2681	6677.769592	38.239939	1.510203	2.697850	25.397964
2683	6679.852515	37.022273	1.456943	2.699625	24.926419
2685	6681.936866	35.924786	1.389060	2.698569	22.659281
2687	6684.017766	34.691382	1.324656	2.699467	21.239457
2689	6686.100730	33.617116	1.255373	2.699864	20.087832
2691	6688.185677	32.577515	1.201817	2.698951	18.079651
2693	6690.269004	31.647245	1.156088	2.697852	17.665693
2695	6692.353320	30.645408	1.107349	2.696553	16.633282
2697	6694.438466	29.649533	1.049316	2.697346	16.249743
2699	6696.520900	28.769948	1.013620	2.695337	14.181314
2701	6698.604870	27.887548	0.974001	2.697012	13.049354
2703	6700.684768	27.065132	0.923044	2.695320	13.283270
2705	6702.762103	26.256020	0.871867	2.695568	12.071898
2707	6704.844491	25.279162	0.836442	2.695494	10.572718
