crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-143.006561	2464	0.000000
281474976710655.000000	-70.056320	2465	0.000000
281474976710655.000000	-127.998734	2466	0.000000
281474976710655.000000	Inf	2467	0.000000
281474976710655.000000	-63.417854	2468	0.000000
281474976710655.000000	-120.851196	2469	0.000000
281474976710655.000000	-126.731750	2470	0.000000
281474976710655.000000	Inf	2471	0.000000
281474976710655.000000	-110.042633	2472	0.000000
281474976710655.000000	-101.443649	2473	0.000000
281474976710655.000000	-112.467102	2474	0.000000
281474976710655.000000	Inf	2475	0.000000
281474976710655.000000	-102.468826	2476	0.000000
281474976710655.000000	-105.187744	2477	0.000000
281474976710655.000000	Inf	2478	0.000000
281474976710655.000000	-100.409073	2479	0.000000
281474976710655.000000	-94.348572	2480	0.000000
281474976710655.000000	-175.444946	2481	0.000000
281474976710655.000000	-44.810467	2482	0.000000
281474976710655.000000	-175.776382	2483	0.000000
281474976710655.000000	-42.528503	2484	0.000000
281474976710655.000000	-79.904556	2485	0.000000
281474976710655.000000	-80.077187	2486	0.000000
281474976710655.000000	-84.664047	2487	0.000000
281474976710655.000000	-78.082962	2488	0.000000
281474976710655.000000	-73.612373	2489	0.000000
281474976710655.000000	-70.578064	2490	0.000000
281474976710655.000000	-69.695129	2491	0.000000
281474976710655.000000	-70.225601	2492	0.000000
281474976710655.000000	-60.130070	2493	0.000000
281474976710655.000000	-67.484703	2494	0.000000
281474976710655.000000	-32.036037	2495	0.000000
281474976710655.000000	-48.550285	2496	0.000000
281474976710655.000000	-101.383804	2497	0.000000
281474976710655.000000	-86.997398	2498	0.000000
