num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2461	6446.246682	0.368785	-7.092847	3.984911	16.907108
2467	6452.922563	89.111232	-0.796831	5.758797	127.212693
2469	6455.003221	87.300533	-0.877519	5.758954	129.702430
2471	6457.084504	85.277358	-0.959095	-0.522717	119.152907
2473	6459.166468	83.206332	-0.994349	-0.521165	110.996418
2475	6461.247620	81.214618	-1.086977	-0.520815	101.633866
2477	6463.329123	79.195105	-1.143102	-0.521239	100.773744
2479	6465.410332	77.153704	-1.220873	-0.522757	96.550454
2481	6467.492548	75.222888	-1.254960	-0.523939	95.456417
2483	6469.574838	73.174972	-1.310018	-0.523144	87.199082
2485	6471.657956	71.211573	-1.343444	-0.523943	82.133547
2487	6473.738720	69.269741	-1.368391	-0.526588	81.021056
2489	6475.824616	67.562141	-1.428211	-0.526309	77.703699
2491	6477.907336	65.771135	-1.453107	-0.526737	73.238642
2493	6479.992186	63.662450	-1.455795	-0.526717	72.322436
2495	6482.076273	62.102487	-1.529145	-0.525374	65.430259
