num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
729	1699.191469	82.169268	-1.002563	2.582166	170.695811
731	1701.275843	77.905218	-0.747184	2.575363	140.044025
733	1703.359106	73.487092	-0.767081	2.576284	121.531228
735	1705.444161	68.913288	-0.750951	2.576669	106.133738
737	1707.528767	64.694402	-0.708949	2.576572	101.626604
739	1709.614755	60.487645	-0.571146	2.576572	83.335396
741	1711.703195	56.610047	-0.618494	2.577051	73.373552
743	1713.789646	52.791402	-0.565810	2.577841	65.243622
745	1715.876589	49.312482	-0.554112	2.578968	58.793556
747	1717.963385	45.948659	-0.531116	2.580295	47.759198
749	1720.050589	42.716913	-0.504098	2.583229	40.716315
751	1722.136580	39.740564	-0.414029	2.586258	35.972432
753	1724.222144	36.843308	-0.383889	2.590467	32.206859
755	1726.307715	34.213726	-0.370287	2.596242	27.730005
757	1728.393181	31.706085	-0.332169	2.605222	23.822900
759	1730.477461	29.381686	-0.284775	2.615916	20.267796
761	1732.563718	27.252458	-0.245122	2.625188	17.755794
763	1734.649976	25.094529	-0.210160	2.637791	14.486636
