crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-103.605400	1840	0.000000
281474976710655.000000	Inf	1841	0.000000
281474976710655.000000	-172.391541	1842	0.000000
281474976710655.000000	-71.075668	1843	0.000000
281474976710655.000000	-59.859142	1844	0.000000
281474976710655.000000	-53.643963	1845	0.000000
281474976710655.000000	-49.622734	1846	0.000000
281474976710655.000000	-41.510719	1847	0.000000
281474976710655.000000	-35.128273	1848	0.000000
281474976710655.000000	-27.170134	1849	0.000000
281474976710655.000000	-24.078136	1850	0.000000
281474976710655.000000	-19.544933	1851	0.000000
281474976710655.000000	-15.929551	1852	0.000000
281474976710655.000000	-14.649605	1853	0.000000
281474976710655.000000	-11.683553	1854	0.000000
281474976710655.000000	-10.103000	1855	0.000000
281474976710655.000000	-8.858450	1856	0.000000
281474976710655.000000	-7.198277	1857	0.000000
281474976710655.000000	-6.227968	1858	0.000000
