num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1837	4646.760423	65.912916	-0.269444	2.528435	10.656586
1839	4648.850718	77.465229	-1.901903	2.589688	163.657102
1841	4650.939606	68.053535	-1.958764	2.591973	132.331654
1843	4653.028004	59.078132	-1.885481	2.587587	89.768094
1845	4655.114514	51.056869	-1.871930	2.589991	71.871720
1847	4657.197417	43.785858	-1.826700	2.587489	52.635339
1849	4659.279140	37.443977	-1.593119	2.581708	39.035649
1851	4661.360824	31.663358	-1.409173	2.577266	28.577464
1853	4663.447864	26.733698	-1.229320	2.579095	19.812694
1855	4665.540292	22.642610	-1.059087	2.584268	14.411144
