crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	3441	0.000000
281474976710655.000000	-226.378738	3442	0.000000
281474976710655.000000	-51.189091	3443	0.000000
281474976710655.000000	-106.920731	3444	0.000000
281474976710655.000000	-46.602180	3445	0.000000
281474976710655.000000	Inf	3446	0.000000
281474976710655.000000	-95.837166	3447	0.000000
281474976710655.000000	-189.074692	3448	0.000000
281474976710655.000000	-98.336578	3449	0.000000
281474976710655.000000	-95.381317	3450	0.000000
281474976710655.000000	Inf	3451	0.000000
281474976710655.000000	-89.845848	3452	0.000000
281474976710655.000000	-194.690613	3453	0.000000
281474976710655.000000	-170.722244	3454	0.000000
281474976710655.000000	-85.562393	3455	0.000000
281474976710655.000000	-44.941395	3456	0.000000
281474976710655.000000	-87.359459	3457	0.000000
281474976710655.000000	-167.721970	3458	0.000000
281474976710655.000000	-38.787956	3459	0.000000
281474976710655.000000	-83.171043	3460	0.000000
281474976710655.000000	-50.189407	3461	0.000000
281474976710655.000000	-54.215649	3462	0.000000
281474976710655.000000	-124.525116	3463	0.000000
281474976710655.000000	Inf	3464	0.000000
281474976710655.000000	-80.768814	3465	0.000000
281474976710655.000000	-35.694538	3466	0.000000
281474976710655.000000	-78.032967	3467	0.000000
281474976710655.000000	-68.450226	3468	0.000000
281474976710655.000000	-140.598419	3469	0.000000
281474976710655.000000	-71.983719	3470	0.000000
281474976710655.000000	-65.610031	3471	0.000000
281474976710655.000000	-64.940483	3472	0.000000
281474976710655.000000	-64.339996	3473	0.000000
281474976710655.000000	-65.591591	3474	0.000000
281474976710655.000000	-67.674141	3475	0.000000
281474976710655.000000	-65.540459	3476	0.000000
281474976710655.000000	-61.440487	3477	0.000000
281474976710655.000000	-69.344437	3478	0.000000
281474976710655.000000	-45.407974	3479	0.000000
281474976710655.000000	-39.842083	3480	0.000000
281474976710655.000000	-45.125584	3481	0.000000
281474976710655.000000	-45.822227	3482	0.000000
281474976710655.000000	-72.191238	3483	0.000000
281474976710655.000000	-41.842091	3484	0.000000
281474976710655.000000	-52.833054	3485	0.000000
281474976710655.000000	-57.826248	3486	0.000000
281474976710655.000000	-54.939190	3487	0.000000
281474976710655.000000	-49.537193	3488	0.000000
281474976710655.000000	-50.255066	3489	0.000000
281474976710655.000000	-66.144455	3490	0.000000
281474976710655.000000	-39.492306	3491	0.000000
281474976710655.000000	-48.525211	3492	0.000000
281474976710655.000000	-46.927845	3493	0.000000
281474976710655.000000	-47.781918	3494	0.000000
281474976710655.000000	-60.329990	3495	0.000000
281474976710655.000000	-44.855476	3496	0.000000
281474976710655.000000	-34.930340	3497	0.000000
281474976710655.000000	-37.537285	3498	0.000000
281474976710655.000000	-44.316544	3499	0.000000
281474976710655.000000	-49.884644	3500	0.000000
281474976710655.000000	-45.426384	3501	0.000000
281474976710655.000000	-44.538307	3502	0.000000
281474976710655.000000	-31.005711	3503	0.000000
281474976710655.000000	-42.073330	3504	0.000000
281474976710655.000000	-33.896332	3505	0.000000
281474976710655.000000	-40.677071	3506	0.000000
281474976710655.000000	-34.460609	3507	0.000000
281474976710655.000000	-35.430069	3508	0.000000
281474976710655.000000	-32.460297	3509	0.000000
281474976710655.000000	-34.767662	3510	0.000000
281474976710655.000000	-39.997864	3511	0.000000
281474976710655.000000	-30.409496	3512	0.000000
281474976710655.000000	-33.737633	3513	0.000000
281474976710655.000000	-34.850155	3514	0.000000
281474976710655.000000	-33.190205	3515	0.000000
281474976710655.000000	-34.230423	3516	0.000000
281474976710655.000000	-30.237450	3517	0.000000
281474976710655.000000	-30.993521	3518	0.000000
281474976710655.000000	-32.688431	3519	0.000000
281474976710655.000000	-33.144562	3520	0.000000
281474976710655.000000	-26.956722	3521	0.000000
281474976710655.000000	-28.503485	3522	0.000000
281474976710655.000000	-28.877096	3523	0.000000
281474976710655.000000	-27.838539	3524	0.000000
281474976710655.000000	-25.745447	3525	0.000000
281474976710655.000000	-26.077188	3526	0.000000
281474976710655.000000	-25.848501	3527	0.000000
281474976710655.000000	-25.856186	3528	0.000000
281474976710655.000000	-25.398149	3529	0.000000
281474976710655.000000	-23.807932	3530	0.000000
281474976710655.000000	-24.177921	3531	0.000000
281474976710655.000000	-23.695425	3532	0.000000
281474976710655.000000	-22.477314	3533	0.000000
281474976710655.000000	-22.753052	3534	0.000000
281474976710655.000000	-20.136627	3535	0.000000
281474976710655.000000	-20.779598	3536	0.000000
281474976710655.000000	-20.627188	3537	0.000000
281474976710655.000000	-19.994066	3538	0.000000
281474976710655.000000	-20.649773	3539	0.000000
281474976710655.000000	-19.945223	3540	0.000000
281474976710655.000000	-19.293825	3541	0.000000
281474976710655.000000	-19.725969	3542	0.000000
281474976710655.000000	-18.413342	3543	0.000000
281474976710655.000000	-18.144873	3544	0.000000
281474976710655.000000	-17.940254	3545	0.000000
281474976710655.000000	-19.056610	3546	0.000000
281474976710655.000000	-18.446667	3547	0.000000
281474976710655.000000	-17.108025	3548	0.000000
281474976710655.000000	-16.202412	3549	0.000000
281474976710655.000000	-16.470364	3550	0.000000
281474976710655.000000	-15.438225	3551	0.000000
281474976710655.000000	-16.814320	3552	0.000000
281474976710655.000000	-15.286796	3553	0.000000
281474976710655.000000	-15.296185	3554	0.000000
281474976710655.000000	-14.054692	3555	0.000000
281474976710655.000000	-14.691706	3556	0.000000
281474976710655.000000	-13.915381	3557	0.000000
281474976710655.000000	-14.050273	3558	0.000000
281474976710655.000000	-13.541090	3559	0.000000
281474976710655.000000	-13.855068	3560	0.000000
281474976710655.000000	-13.738358	3561	0.000000
281474976710655.000000	-12.774333	3562	0.000000
281474976710655.000000	-12.457687	3563	0.000000
281474976710655.000000	-12.539145	3564	0.000000
