crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-2.191971	232	0.000000
281474976710655.000000	-2.481048	233	0.000000
281474976710655.000000	-4.484046	234	0.000000
281474976710655.000000	-5.700875	235	0.000000
281474976710655.000000	-7.764634	236	0.000000
281474976710655.000000	-7.603397	237	0.000000
281474976710655.000000	-11.121540	238	0.000000
281474976710655.000000	-10.364014	239	0.000000
281474976710655.000000	-10.195695	240	0.000000
281474976710655.000000	-9.772443	241	0.000000
281474976710655.000000	-6.587716	242	0.000000
281474976710655.000000	-6.019189	243	0.000000
281474976710655.000000	-4.675103	244	0.000000
281474976710655.000000	-4.275897	245	0.000000
281474976710655.000000	-3.353284	246	0.000000
281474976710655.000000	-2.717340	247	0.000000
281474976710655.000000	-1.886022	248	0.000000
281474976710655.000000	-1.686220	249	0.000000
