num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1227	2278.320868	81.999857	-2.993320	2.599173	118.275153
1229	2280.404618	80.078267	-2.832802	2.597885	135.445439
1231	2282.488925	77.785410	-2.952721	2.592561	115.015826
1233	2284.572647	76.048657	-2.740459	2.593012	110.323025
1235	2286.654038	74.100974	-2.515932	2.590530	112.707348
1237	2288.737314	71.721713	-2.489521	2.588104	97.659039
1239	2290.820378	69.492418	-2.524459	2.588651	93.670262
1241	2292.903133	67.556314	-2.288844	2.585564	89.511531
1243	2294.987316	65.531563	-2.291142	2.585929	83.034859
1245	2297.070465	63.588256	-2.234506	2.583856	80.598791
1247	2299.154728	61.735550	-2.228920	2.584970	74.848310
1249	2301.239031	59.886039	-2.126278	2.584874	66.583312
1251	2303.322743	57.950366	-2.085838	2.583716	64.449373
1253	2305.406295	56.201092	-1.989893	2.583185	61.722958
1255	2307.489574	54.409838	-1.928224	2.583236	58.110283
1257	2309.573270	52.685972	-1.808887	2.581505	54.305799
1259	2311.656459	51.077386	-1.782806	2.581722	51.036913
1261	2313.739834	49.199144	-1.754916	2.582781	47.259364
1263	2315.825129	47.582259	-1.714855	2.580467	43.927127
1265	2317.909642	45.952491	-1.661719	2.578514	41.946441
1267	2319.996046	44.550262	-1.608341	2.579437	38.038435
1269	2322.082770	43.060319	-1.530987	2.579947	36.567435
1271	2324.167493	41.617442	-1.464399	2.582152	33.871869
1273	2326.252446	40.148319	-1.443081	2.586397	30.259686
1275	2328.336819	38.802181	-1.368573	2.589803	29.407825
1277	2330.419076	37.522418	-1.293968	2.591761	27.246730
1279	2332.501423	36.202849	-1.291893	2.593336	23.947800
1281	2334.583522	34.885468	-1.227872	2.596102	23.000382
1283	2336.665640	33.646960	-1.197550	2.599280	21.637988
1285	2338.748192	32.655945	-1.150975	2.596615	19.795548
1287	2340.830260	31.368420	-1.081677	2.605280	18.225227
1289	2342.913410	30.190549	-1.030464	2.608175	17.682690
