num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3281	7364.806913	84.350656	4.121613	2.681274	93.455797
3283	7366.888487	83.110286	4.057214	2.680428	97.976617
3285	7368.969467	81.936972	3.954301	2.679404	98.266478
3287	7371.049626	80.352690	3.866365	2.679293	94.638660
3289	7373.131798	79.122878	3.841794	2.681163	92.545865
3291	7375.214456	77.781620	3.756304	2.682952	85.251511
3293	7377.297120	76.616548	3.635707	2.685292	81.928318
3295	7379.379855	75.489535	3.617220	2.686704	81.790797
3297	7381.461445	74.381032	3.511903	2.685964	75.975354
3299	7383.543648	73.246416	3.437957	2.685067	76.163452
3301	7385.624042	72.009727	3.380030	2.685168	77.489353
3303	7387.703675	70.937811	3.307904	2.686143	75.382308
3305	7389.783520	69.875447	3.277228	2.685877	70.576134
3307	7391.862658	68.753161	3.186067	2.684939	68.593477
3309	7393.940685	67.630886	3.132370	2.686052	64.219149
3311	7396.019107	66.598478	3.050449	2.686588	65.161141
3313	7398.097217	65.412632	2.942424	2.686206	61.348460
3315	7400.176437	64.238501	2.901058	2.686318	57.615679
3317	7402.257090	63.041305	2.796134	2.685752	57.336008
3319	7404.337275	61.932596	2.733265	2.683963	57.575461
3321	7406.418497	60.782536	2.651764	2.683827	53.126496
3323	7408.501342	59.655942	2.655732	2.683701	51.886783
3325	7410.583580	58.554344	2.593835	2.685559	50.520865
3327	7412.665890	57.435600	2.528158	2.686529	49.565816
3329	7414.748108	56.562929	2.464647	2.686408	47.305103
3331	7416.829486	55.514089	2.394869	2.687314	44.571589
3333	7418.910492	54.566759	2.340475	2.686070	46.357039
3335	7420.990444	53.465853	2.221469	2.686417	44.018992
3337	7423.070897	52.573526	2.242241	2.685094	40.983421
3339	7425.149578	51.693425	2.198107	2.685508	40.862502
3341	7427.226880	50.670702	2.112851	2.684771	38.859681
3343	7429.305309	49.768923	2.085857	2.685403	36.863846
3345	7431.383350	48.991481	2.028120	2.685557	34.858260
3347	7433.461504	47.986823	1.982930	2.685373	35.113537
3349	7435.541064	47.082056	1.896899	2.684844	32.454334
3351	7437.620203	46.161913	1.845777	2.682460	30.731927
3353	7439.702386	45.177029	1.801703	2.681518	32.163502
3355	7441.781812	44.327629	1.760760	2.680190	30.071906
3357	7443.864363	43.442982	1.735250	2.680295	28.442185
3359	7445.947851	42.520547	1.664987	2.680241	27.222065
3361	7448.029808	41.760013	1.623738	2.681618	26.103188
3363	7450.112024	41.038162	1.568760	2.681697	26.196986
3365	7452.192973	40.384737	1.498645	2.682929	25.685176
3367	7454.274904	39.585993	1.461298	2.680890	23.831132
3369	7456.354248	38.825624	1.431211	2.680909	22.368122
3371	7458.432067	38.225687	1.392076	2.679251	21.576272
3373	7460.509939	37.463955	1.359329	2.679839	21.834581
3375	7462.587696	36.854816	1.319075	2.681912	22.214468
3377	7464.664023	36.122799	1.282304	2.682854	20.030235
3379	7466.743565	35.241994	1.202269	2.681988	19.375293
3381	7468.821550	34.673304	1.178719	2.682179	17.308099
3383	7470.901276	33.934387	1.103142	2.679037	17.982685
3385	7472.983753	33.282266	1.079686	2.678498	17.167893
3387	7475.062970	32.688069	1.042387	2.677535	15.946957
3389	7477.145935	31.965212	0.998060	2.677288	14.976252
