crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	115.166405	1982	0.000000
281474976710655.000000	Inf	1983	0.000000
281474976710655.000000	121.885292	1984	0.000000
281474976710655.000000	111.650581	1985	0.000000
281474976710655.000000	113.446762	1986	0.000000
281474976710655.000000	108.482796	1987	0.000000
281474976710655.000000	100.728340	1988	0.000000
281474976710655.000000	107.880379	1989	0.000000
281474976710655.000000	101.894386	1990	0.000000
281474976710655.000000	103.211555	1991	0.000000
281474976710655.000000	Inf	1992	0.000000
281474976710655.000000	99.164307	1993	0.000000
281474976710655.000000	66.676659	1994	0.000000
281474976710655.000000	50.126606	1995	0.000000
281474976710655.000000	93.797935	1996	0.000000
281474976710655.000000	91.338150	1997	0.000000
281474976710655.000000	87.174133	1998	0.000000
281474976710655.000000	86.883583	1999	0.000000
281474976710655.000000	Inf	2000	0.000000
281474976710655.000000	84.968117	2001	0.000000
281474976710655.000000	84.555878	2002	0.000000
281474976710655.000000	87.979706	2003	0.000000
281474976710655.000000	89.887138	2004	0.000000
281474976710655.000000	74.742928	2005	0.000000
281474976710655.000000	52.302818	2006	0.000000
281474976710655.000000	158.365936	2007	0.000000
281474976710655.000000	52.030914	2008	0.000000
281474976710655.000000	151.413742	2009	0.000000
281474976710655.000000	74.423660	2010	0.000000
281474976710655.000000	75.703613	2011	0.000000
281474976710655.000000	73.466866	2012	0.000000
281474976710655.000000	70.058647	2013	0.000000
281474976710655.000000	69.610100	2014	0.000000
281474976710655.000000	67.384506	2015	0.000000
281474976710655.000000	67.780945	2016	0.000000
281474976710655.000000	69.908340	2017	0.000000
281474976710655.000000	28.879614	2018	0.000000
281474976710655.000000	50.282181	2019	0.000000
281474976710655.000000	100.386749	2020	0.000000
281474976710655.000000	58.780956	2021	0.000000
281474976710655.000000	41.349873	2022	0.000000
281474976710655.000000	45.543381	2023	0.000000
281474976710655.000000	96.967461	2024	0.000000
281474976710655.000000	56.128113	2025	0.000000
281474976710655.000000	58.040203	2026	0.000000
281474976710655.000000	60.834297	2027	0.000000
281474976710655.000000	55.299095	2028	0.000000
281474976710655.000000	85.920181	2029	0.000000
281474976710655.000000	54.161221	2030	0.000000
281474976710655.000000	35.893948	2031	0.000000
281474976710655.000000	71.277390	2032	0.000000
281474976710655.000000	57.554817	2033	0.000000
281474976710655.000000	32.122219	2034	0.000000
281474976710655.000000	40.276684	2035	0.000000
281474976710655.000000	30.478008	2036	0.000000
281474976710655.000000	36.917183	2037	0.000000
281474976710655.000000	39.419594	2038	0.000000
281474976710655.000000	53.167091	2039	0.000000
281474976710655.000000	45.297310	2040	0.000000
281474976710655.000000	44.333942	2041	0.000000
281474976710655.000000	41.048923	2042	0.000000
281474976710655.000000	33.444061	2043	0.000000
281474976710655.000000	42.663502	2044	0.000000
281474976710655.000000	33.957916	2045	0.000000
281474976710655.000000	33.028175	2046	0.000000
281474976710655.000000	35.428612	2047	0.000000
281474976710655.000000	36.722275	2048	0.000000
281474976710655.000000	30.816099	2049	0.000000
281474976710655.000000	38.236088	2050	0.000000
281474976710655.000000	40.880554	2051	0.000000
281474976710655.000000	32.230896	2052	0.000000
281474976710655.000000	34.958515	2053	0.000000
281474976710655.000000	31.736322	2054	0.000000
281474976710655.000000	38.713398	2055	0.000000
281474976710655.000000	32.679035	2056	0.000000
281474976710655.000000	27.992512	2057	0.000000
281474976710655.000000	28.210752	2058	0.000000
281474976710655.000000	29.443235	2059	0.000000
281474976710655.000000	29.639965	2060	0.000000
281474976710655.000000	28.291262	2061	0.000000
281474976710655.000000	25.712208	2062	0.000000
281474976710655.000000	31.576551	2063	0.000000
281474976710655.000000	30.484173	2064	0.000000
281474976710655.000000	27.065409	2065	0.000000
281474976710655.000000	23.047705	2066	0.000000
281474976710655.000000	24.721586	2067	0.000000
281474976710655.000000	26.937176	2068	0.000000
281474976710655.000000	24.953049	2069	0.000000
281474976710655.000000	22.080469	2070	0.000000
281474976710655.000000	21.828814	2071	0.000000
281474976710655.000000	26.191208	2072	0.000000
281474976710655.000000	22.182669	2073	0.000000
281474976710655.000000	22.902451	2074	0.000000
281474976710655.000000	23.014036	2075	0.000000
281474976710655.000000	19.608488	2076	0.000000
281474976710655.000000	19.039877	2077	0.000000
281474976710655.000000	22.098625	2078	0.000000
281474976710655.000000	20.566370	2079	0.000000
281474976710655.000000	19.819262	2080	0.000000
281474976710655.000000	19.676146	2081	0.000000
281474976710655.000000	19.117765	2082	0.000000
281474976710655.000000	20.220665	2083	0.000000
281474976710655.000000	18.549860	2084	0.000000
281474976710655.000000	18.141808	2085	0.000000
281474976710655.000000	16.924234	2086	0.000000
281474976710655.000000	17.454399	2087	0.000000
281474976710655.000000	17.207237	2088	0.000000
281474976710655.000000	18.134941	2089	0.000000
281474976710655.000000	16.652117	2090	0.000000
281474976710655.000000	16.012173	2091	0.000000
281474976710655.000000	16.101650	2092	0.000000
281474976710655.000000	15.287475	2093	0.000000
281474976710655.000000	14.696746	2094	0.000000
281474976710655.000000	15.097475	2095	0.000000
281474976710655.000000	14.659928	2096	0.000000
281474976710655.000000	14.975612	2097	0.000000
281474976710655.000000	14.193326	2098	0.000000
281474976710655.000000	13.975931	2099	0.000000
281474976710655.000000	13.221344	2100	0.000000
281474976710655.000000	14.156318	2101	0.000000
281474976710655.000000	13.089149	2102	0.000000
281474976710655.000000	12.711219	2103	0.000000
281474976710655.000000	12.636361	2104	0.000000
281474976710655.000000	12.224497	2105	0.000000
281474976710655.000000	11.914807	2106	0.000000
281474976710655.000000	11.974267	2107	0.000000
281474976710655.000000	11.260403	2108	0.000000
281474976710655.000000	11.011672	2109	0.000000
281474976710655.000000	11.087416	2110	0.000000
281474976710655.000000	10.848742	2111	0.000000
281474976710655.000000	10.622337	2112	0.000000
281474976710655.000000	10.433442	2113	0.000000
