num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1981	3112.326509	84.102105	1.147694	2.637692	115.153390
1983	3114.410840	83.337860	1.129530	2.645364	112.669936
1985	3116.492024	82.247110	1.283832	2.638247	105.138427
1987	3118.571915	80.932019	1.225321	2.633807	108.594023
1989	3120.653105	79.639435	1.369217	2.629442	106.781396
1991	3122.735248	78.280318	1.306548	2.631500	103.754685
1993	3124.817778	77.320377	1.321365	2.630923	97.694792
1995	3126.901127	76.126957	1.362258	2.633422	93.900721
1997	3128.982574	75.287079	1.417713	2.634465	93.951721
1999	3131.064076	73.800190	1.404888	2.633362	88.765454
2001	3133.146001	72.742138	1.454015	2.634168	88.208984
2003	3135.226710	71.625694	1.432555	2.634944	82.907230
2005	3137.309257	70.455014	1.493425	2.634411	83.154977
2007	3139.394032	69.279722	1.547243	2.632879	80.521825
2009	3141.478437	68.184677	1.591054	2.628369	75.364286
2011	3143.559991	67.283686	1.571874	2.627185	76.242281
2013	3145.638664	66.404481	1.545741	2.633118	71.458937
2015	3147.717921	65.155886	1.600730	2.637356	69.951392
2017	3149.801530	63.935465	1.586789	2.634877	67.871779
2019	3151.887332	62.864794	1.596379	2.627611	64.918474
2021	3153.969756	62.113887	1.736150	2.626383	63.129540
2023	3156.049568	61.117220	1.658613	2.630299	60.845836
2025	3158.128135	60.058906	1.668929	2.635187	57.598698
2027	3160.208885	58.950143	1.715420	2.635033	57.533911
2029	3162.291344	57.807995	1.728938	2.633545	54.848116
2031	3164.374998	56.829448	1.732857	2.632317	51.749129
2033	3166.458665	55.881252	1.787169	2.631818	51.697705
2035	3168.541854	54.939649	1.811295	2.630970	48.500374
2037	3170.624436	53.966140	1.820077	2.632331	47.387493
2039	3172.705624	53.073113	1.785471	2.632894	45.965067
2041	3174.787238	52.151120	1.822196	2.633864	43.787862
2043	3176.868536	51.269847	1.883379	2.635161	41.785007
2045	3178.948245	50.332726	1.873908	2.633954	40.555453
2047	3181.028485	49.395515	1.902744	2.629935	39.284572
2049	3183.107772	48.448475	1.870933	2.628022	39.015051
2051	3185.189108	47.466850	1.847743	2.626597	35.406275
2053	3187.272216	46.561713	1.845859	2.629123	35.355610
2055	3189.357258	45.845844	1.840214	2.634933	33.961602
2057	3191.441890	44.979960	1.886518	2.642023	32.848983
2059	3193.524284	44.307708	1.857369	2.641305	32.146264
2061	3195.602446	43.442301	1.878277	2.636182	29.660913
2063	3197.679999	42.484172	1.859981	2.631538	29.404309
2065	3199.759729	41.588737	1.891768	2.628973	28.801894
2067	3201.842764	40.902026	1.871384	2.629108	27.711183
2069	3203.926769	40.211834	1.802025	2.633739	24.818815
2071	3206.011180	39.486730	1.776578	2.639315	25.571347
2073	3208.094482	38.824537	1.872954	2.643124	23.718575
2075	3210.176928	38.097175	1.799726	2.645108	23.759042
2077	3212.258996	37.298481	1.831137	2.645517	22.456726
2079	3214.341714	36.627745	1.807347	2.648860	21.246434
2081	3216.422277	36.005522	1.868241	2.649717	21.049109
2083	3218.505026	35.201953	1.810502	2.650157	19.314063
2085	3220.584714	34.639633	1.802807	2.649673	20.470523
2087	3222.668414	33.969385	1.742382	2.650867	18.032581
2089	3224.747363	33.440111	1.713802	2.652584	17.723208
2091	3226.825096	32.795524	1.682285	2.657258	17.676857
2093	3228.903783	32.018879	1.664425	2.666469	15.907255
2095	3230.984231	31.396079	1.672691	2.672801	15.133875
2097	3233.062844	30.799432	1.691484	2.670870	14.664177
2099	3235.147160	30.085469	1.658344	2.673827	14.801904
2101	3237.232419	29.338544	1.648783	2.678119	13.874787
2103	3239.318238	28.833635	1.677629	2.676795	13.780702
2105	3241.401377	28.397340	1.619938	2.679257	13.031727
2107	3243.483307	27.990505	1.650926	2.679609	12.053555
2109	3245.562123	27.788974	1.582897	2.672349	11.933305
2111	3247.639924	26.955846	1.533743	2.685080	10.741090
